station_id,temperature,elevation,x,y
ST000,27.63,502.9,507739.56048555963,1006643.1354032739
ST001,28.87,320.4,504388.78439752053,1004063.8686144007
ST002,27.13,389.5,508585.97919911385,1008140.2038466603
ST003,29.81,239.1,506973.68029059365,1001669.729199077
ST004,30.48,206.8,500941.7734788765,1000227.1207313386
ST005,31.21,244.3,509756.22351636755,1000900.4786077564
ST006,26.83,492.9,507611.3970199035,1007223.5935059645
ST007,28.86,382.6,507860.64305276953,1004618.7723025138
ST008,29.63,273.2,501281.13632675546,1001612.717790336
ST009,29.14,330.6,504503.8593789557,1005010.4477510336
ST010,30.09,284.5,503707.9802423258,1001523.1210271317
ST011,27.87,383.9,509267.649888486,1006963.2037507774
ST012,28.61,373.2,506438.65120080666,1004461.5627557404
ST013,28.92,313.0,508227.6161327083,1003810.2122609648
ST014,29.6,307.1,504434.1419882733,1003015.1208914787
ST015,28.76,254.4,502272.38721784775,1006302.8259311889
ST016,28.81,302.5,505545.8478701583,1003618.1261055339
ST017,30.01,219.5,500638.1725610418,1000876.499193161
ST018,30.39,238.6,508276.31171992584,1001180.0590212052
ST019,28.3,323.2,506316.6439912206,1009618.9766454952
ST020,27.62,360.6,507580.87740085373,1009085.806907076
ST021,28.54,282.3,503545.2596812987,1006997.0713381075
ST022,29.92,260.8,509706.98024394904,1002658.6996145952
ST023,28.21,317.3,508931.21121322195,1009691.7637734773
ST024,27.38,451.5,507783.83497073763,1007787.5090396579
ST025,28.64,242.5,501946.3870785197,1007168.90189159
ST026,29.37,326.2,504667.2100372703,1004493.6150214379
ST027,29.96,262.1,500438.0376578723,1002722.4156184515
ST028,30.92,249.6,501542.8949206755,1000963.909621535
ST029,27.62,364.5,506830.48953242454,1009026.0239654384
ST030,28.03,386.8,507447.62155907816,1004557.7628983362
ST031,29.47,253.0,509675.0973243421,1002023.6336479523
ST032,29.76,355.0,503258.2535813815,1003059.5662415065
ST033,29.46,299.7,503704.59706034866,1005792.1956894189
ST034,29.94,263.6,504695.5581127581,1001767.7278293923
ST035,28.28,244.7,501894.71359084285,1008566.1428409237
ST036,29.32,235.9,501299.21505335474,1007585.195298352
ST037,27.61,357.0,504757.04926225933,1007194.6295595093
ST038,28.61,327.1,502269.09349050885,1004320.930397751
ST039,27.53,512.2,506698.1399468251,1006273.0884070244
ST040,28.39,332.6,504371.5191887233,1005840.9796891273
ST041,27.53,462.9,508326.7819605784,1006498.4660155482
ST042,30.4,229.4,507002.6510200225,1000844.4432113989
ST043,29.07,338.3,503123.6664138204,1004158.0740217061
ST044,31.12,232.9,508322.598013952,1000416.141738619
ST045,28.36,402.4,508047.64357496804,1004939.9081924452
ST046,29.44,333.3,503874.78379030176,1003298.6121233278
ST047,29.06,296.0,502883.28103930247,1001445.2418886605
ST048,30.39,230.6,506824.95503974974,1001034.0296772255
ST049,28.76,247.4,501397.5248360931,1005876.4457217772
ST050,29.28,304.4,501999.08202475106,1001705.9296853689
ST051,27.97,236.0,500073.62269751006,1009251.201183768
ST052,27.5,474.0,507869.2437750214,1005810.611397004
ST053,29.72,300.4,506648.50856592035,1003468.6980453484
ST054,26.89,503.4,507051.65378626337,1005909.1549148142
ST055,30.64,228.7,507807.2903102197,1000228.038710297
ST056,27.73,285.2,504589.1577553834,1009585.5921324145
ST057,28.39,375.3,505687.4119595289,1004823.034369429
ST058,29.07,237.5,501397.96998127655,1007827.3522725028
ST059,30.67,232.3,501145.3007353597,1000827.2999992244
ST060,28.79,415.5,506684.02961790474,1004866.5833083816
ST061,28.7,336.1,504710.9620614313,1004907.0699435452
ST062,27.48,318.5,505652.3610648119,1009378.2645497498
ST063,27.54,479.2,507649.98857416026,1005717.2805237607
ST064,28.52,394.8,506347.1832000059,1004734.8940105696
ST065,29.83,268.2,505535.79400657996,1002669.756630919
ST066,29.02,289.7,505592.07160745416,1003315.6899734255
ST067,28.97,297.3,503039.5009806261,1005206.7240247154
ST068,29.56,247.3,500308.1783456794,1004389.1146030505
ST069,31.67,223.5,504367.1738923236,1000216.1207988033
ST070,29.26,246.1,502145.8467281953,1008262.9192419436
ST071,27.76,281.3,504085.28643724637,1008961.6077183976
ST072,30.13,242.0,508534.0307326817,1001402.4908899862
ST073,28.42,274.3,502339.3948586534,1005540.3614353905
ST074,30.2,224.6,500583.02741689066,1001085.7574113545
ST075,28.92,260.3,502813.83892022,1006722.4009303981
ST076,29.61,359.6,502935.93757766683,1002812.33783839
ST077,26.89,513.1,506619.16514726897,1006594.226346919
ST078,27.33,425.2,505570.3215234128,1007269.9461428688
ST079,26.43,456.0,507838.98209106416,1007686.4749191765
